Date ; Family ; Family ; Private ; Private
Dec 10 ; 2 Chr 10 ; Rev 1 ; Zeph 2 ; Luke 24
Dec 11 ; 2 Chr 11-12 ; Rev 2 ; Zeph 3 ; John 1
Dec 12 ; 2 Chr 13 ; Rev 3 ; Hag 1 ; John 2
Dec 13 ; 2 Chr 14-15 ; Rev 4 ; Hag 2 ; John 3
Dec 14 ; 2 Chr 16 ; Rev 5 ; Zech 1 ; John 4
Dec 15 ; 2 Chr 17 ; Rev 6 ; Zech 2 ; John 5
Dec 16 ; 2 Chr 18 ; Rev 7 ; Zech 3 ; John 6
Dec 17 ; 2 Chr 19-20 ; Rev 8 ; Zech 4 ; John 7
Dec 18 ; 2 Chr 21 ; Rev 9 ; Zech 5 ; John 8
Dec 19 ; 2 Chr 22-23 ; Rev 10 ; Zech 6 ; John 9
Dec 20 ; 2 Chr 24 ; Rev 11 ; Zech 7 ; John 10
Dec 21 ; 2 Chr 25 ; Rev 12 ; Zech 8 ; John 11
Dec 22 ; 2 Chr 26 ; Rev 13 ; Zech 9 ; John 12
Dec 23 ; 2 Chr 27-28 ; Rev 14 ; Zech 10 ; John 13
Dec 24 ; 2 Chr 29 ; Rev 15 ; Zech 11 ; John 14
Dec 25 ; 2 Chr 30 ; Rev 16 ; Zech 12:1-13:1 ; John 15
Dec 26 ; 2 Chr 31 ; Rev 17 ; Zech 13:2-9 ; John 16
Dec 27 ; 2 Chr 32 ; Rev 18 ; Zech 14 ; John 17
Dec 28 ; 2 Chr 33 ; Rev 19 ; Mal 1 ; John 18
Dec 29 ; 2 Chr 34 ; Rev 20 ; Mal 2 ; John 19
Dec 30 ; 2 Chr 35 ; Rev 21 ; Mal 3 ; John 20
Dec 31 ; 2 Chr 36 ; Rev 22 ; Mal 4 ; John 21
